file,dir,height,width,channels
strangle0226.jpg,image_data/strangle,390,690,3
strangle0465.jpg,image_data/strangle,305,380,3
strangle0158.jpg,image_data/strangle,366,550,3
strangle0204.jpg,image_data/strangle,541,580,3
strangle0125.jpg,image_data/strangle,300,720,3
strangle0126.jpg,image_data/strangle,280,496,3
strangle0233.jpg,image_data/strangle,240,280,3
strangle0138.jpg,image_data/strangle,240,360,3
strangle0036.jpg,image_data/strangle,456,397,3
strangle0349.jpg,image_data/strangle,240,362,3
strangle0194.jpg,image_data/strangle,720,1280,3
strangle0067.jpg,image_data/strangle,235,300,3
strangle0251.jpg,image_data/strangle,240,360,3
strangle0313.jpg,image_data/strangle,408,612,3
strangle0351.jpg,image_data/strangle,500,890,3
strangle0084.jpg,image_data/strangle,240,360,3
strangle0414.jpg,image_data/strangle,240,159,3
strangle0127.jpg,image_data/strangle,240,160,3
strangle0296.jpg,image_data/strangle,240,240,3
strangle0312.jpg,image_data/strangle,595,1190,3
strangle0201.jpg,image_data/strangle,360,480,3
strangle0455.jpg,image_data/strangle,240,160,3
strangle0417.jpg,image_data/strangle,427,640,3
strangle0206.jpg,image_data/strangle,1600,1200,3
strangle0371.jpg,image_data/strangle,612,612,3
strangle0492.jpg,image_data/strangle,360,480,3
strangle0159.jpg,image_data/strangle,240,159,3
strangle0421.jpg,image_data/strangle,765,1013,3
strangle0470.jpg,image_data/strangle,580,1000,3
strangle0098.jpg,image_data/strangle,240,360,3
strangle0359.jpg,image_data/strangle,240,327,3
strangle0146.jpg,image_data/strangle,513,800,3
strangle0288.jpg,image_data/strangle,518,715,3
strangle0483.jpg,image_data/strangle,798,599,3
strangle0257.jpg,image_data/strangle,384,512,3
strangle0134.jpg,image_data/strangle,240,360,3
strangle0235.jpg,image_data/strangle,240,350,3
strangle0102.jpg,image_data/strangle,240,171,3
strangle0216.jpg,image_data/strangle,281,500,3
strangle0430.jpg,image_data/strangle,1911,1200,3
strangle0505.jpg,image_data/strangle,240,360,3
strangle0437.jpg,image_data/strangle,240,360,3
strangle0059.jpg,image_data/strangle,240,427,3
strangle0009.jpg,image_data/strangle,411,448,3
strangle0425.jpg,image_data/strangle,240,393,3
strangle0104.jpg,image_data/strangle,600,482,3
strangle0419.jpg,image_data/strangle,183,275,3
strangle0388.jpg,image_data/strangle,240,160,3
strangle0231.jpg,image_data/strangle,240,360,3
strangle0113.jpg,image_data/strangle,330,584,3
strangle0303.PNG,image_data/strangle,721,968,3
strangle0403.jpg,image_data/strangle,480,640,3
strangle0005.jpg,image_data/strangle,360,480,3
strangle0271.jpg,image_data/strangle,240,160,3
strangle0499.jpg,image_data/strangle,240,360,3
strangle0135.jpg,image_data/strangle,300,600,3
strangle0456.jpg,image_data/strangle,435,608,3
strangle0314.jpg,image_data/strangle,240,360,3
strangle0443.jpg,image_data/strangle,240,361,3
strangle0039.jpg,image_data/strangle,400,700,3
strangle0224.jpg,image_data/strangle,240,360,3
strangle0107.jpg,image_data/strangle,404,647,3
strangle0386.jpg,image_data/strangle,498,584,3
strangle0115.jpg,image_data/strangle,418,498,3
strangle0485.jpg,image_data/strangle,800,1920,3
strangle0193.jpg,image_data/strangle,160,240,3
strangle0374.jpg,image_data/strangle,789,790,3
strangle0076.jpg,image_data/strangle,500,950,3
strangle0350.jpg,image_data/strangle,544,698,3
strangle0182.jpg,image_data/strangle,1400,937,3
strangle0506.jpg,image_data/strangle,360,480,3
strangle0143.jpg,image_data/strangle,240,360,3
strangle0360.jpg,image_data/strangle,240,427,3
strangle0479.jpg,image_data/strangle,375,500,3
strangle0174.jpg,image_data/strangle,256,335,3
strangle0130.png,image_data/strangle,809,1440,3
strangle0478.jpg,image_data/strangle,900,600,3
strangle0267.jpg,image_data/strangle,500,668,3
strangle0046.jpg,image_data/strangle,183,275,3
strangle0322.jpg,image_data/strangle,337,288,3
strangle0221.jpg,image_data/strangle,240,157,3
strangle0457.jpg,image_data/strangle,665,1000,3
strangle0042.jpg,image_data/strangle,240,160,3
strangle0112.jpg,image_data/strangle,240,360,3
strangle0501.jpg,image_data/strangle,300,400,3
strangle0442.jpg,image_data/strangle,360,640,3
strangle0426.jpg,image_data/strangle,240,360,3
strangle0002.jpg,image_data/strangle,240,315,3
strangle0401.jpg,image_data/strangle,1080,1920,3
strangle0370.jpg,image_data/strangle,240,360,3
strangle0356.jpg,image_data/strangle,240,360,3
strangle0106.jpg,image_data/strangle,355,473,3
strangle0089.jpg,image_data/strangle,942,809,3
strangle0336.jpg,image_data/strangle,412,310,3
strangle0099.jpg,image_data/strangle,240,360,3
strangle0071.jpg,image_data/strangle,326,606,3
strangle0114.jpg,image_data/strangle,475,853,3
strangle0015.jpg,image_data/strangle,720,1280,3
strangle0041.jpg,image_data/strangle,675,900,3
strangle0498.jpg,image_data/strangle,1080,1920,3
strangle0141.jpg,image_data/strangle,1996,3000,3
strangle0508.jpg,image_data/strangle,240,160,3
strangle0489.jpg,image_data/strangle,1024,683,3
strangle0480.jpg,image_data/strangle,240,240,3
strangle0103.jpg,image_data/strangle,240,180,3
strangle0079.jpg,image_data/strangle,572,500,3
strangle0081.jpg,image_data/strangle,240,353,3
strangle0444.jpg,image_data/strangle,300,500,3
strangle0298.jpg,image_data/strangle,375,500,3
strangle0185.jpg,image_data/strangle,252,448,3
strangle0439.jpg,image_data/strangle,400,698,3
strangle0105.jpg,image_data/strangle,360,480,3
strangle0496.jpg,image_data/strangle,387,640,3
strangle0207.jpg,image_data/strangle,328,580,3
strangle0149.jpg,image_data/strangle,390,500,3
strangle0355.jpg,image_data/strangle,240,360,3
strangle0119.jpg,image_data/strangle,317,590,3
strangle0338.jpg,image_data/strangle,528,944,3
strangle0482.jpg,image_data/strangle,720,1280,3
strangle0486.jpg,image_data/strangle,240,160,3
strangle0511.jpg,image_data/strangle,360,480,3
strangle0117.jpg,image_data/strangle,160,240,3
strangle0140.jpg,image_data/strangle,700,1280,3
strangle0509.jpg,image_data/strangle,240,160,3
strangle0383.jpg,image_data/strangle,613,920,3
strangle0447.png,image_data/strangle,383,598,3
strangle0406.jpg,image_data/strangle,390,520,3
strangle0454.jpg,image_data/strangle,1080,1920,3
strangle0170.jpg,image_data/strangle,324,432,3
strangle0154.jpg,image_data/strangle,705,470,3
strangle0325.jpg,image_data/strangle,665,1000,3
strangle0262.jpg,image_data/strangle,409,615,3
strangle0022.jpg,image_data/strangle,240,159,3
strangle0311.jpg,image_data/strangle,240,326,3
strangle0236.jpg,image_data/strangle,250,333,3
strangle0367.jpg,image_data/strangle,451,350,3
strangle0395.jpg,image_data/strangle,720,1280,3
strangle0396.jpg,image_data/strangle,450,600,3
strangle0487.jpg,image_data/strangle,500,690,3
strangle0418.jpg,image_data/strangle,240,343,3
strangle0329.jpg,image_data/strangle,240,360,3
strangle0001.jpg,image_data/strangle,320,592,3
strangle0060.jpg,image_data/strangle,288,512,3
strangle0049.jpg,image_data/strangle,458,703,3
strangle0378.jpg,image_data/strangle,720,1280,3
strangle0434.jpg,image_data/strangle,240,359,3
strangle0035.jpg,image_data/strangle,360,480,3
strangle0080.jpg,image_data/strangle,240,360,3
strangle0361.jpg,image_data/strangle,188,250,3
strangle0196.jpg,image_data/strangle,720,1280,3
strangle0316.jpg,image_data/strangle,360,360,3
strangle0497.jpg,image_data/strangle,353,530,3
strangle0440.jpg,image_data/strangle,240,277,3
strangle0165.jpg,image_data/strangle,240,427,3
strangle0137.jpg,image_data/strangle,240,388,3
strangle0123.jpg,image_data/strangle,240,360,3
strangle0004.jpg,image_data/strangle,1080,1728,3
strangle0241.jpg,image_data/strangle,240,360,3
strangle0142.jpg,image_data/strangle,480,640,3
strangle0222.jpg,image_data/strangle,367,537,3
strangle0300.jpg,image_data/strangle,240,286,3
strangle0459.jpg,image_data/strangle,900,1600,3
strangle0202.jpg,image_data/strangle,240,360,3
strangle0227.jpg,image_data/strangle,225,400,3
strangle0010.jpg,image_data/strangle,280,500,3
strangle0085.jpg,image_data/strangle,612,491,3
strangle0460.jpg,image_data/strangle,240,365,3
strangle0318.jpg,image_data/strangle,240,240,3
strangle0344.jpg,image_data/strangle,720,1280,3
strangle0305.jpg,image_data/strangle,922,736,3
strangle0407.jpg,image_data/strangle,480,640,3
strangle0428.jpg,image_data/strangle,240,360,3
strangle0373.jpg,image_data/strangle,332,450,3
strangle0223.jpg,image_data/strangle,223,539,3
strangle0289.jpg,image_data/strangle,345,460,3
strangle0243.jpg,image_data/strangle,240,168,3
strangle0131.jpg,image_data/strangle,309,549,3
strangle0260.jpg,image_data/strangle,1829,1200,3
strangle0415.jpg,image_data/strangle,240,360,3
strangle0164.jpg,image_data/strangle,240,245,3
strangle0175.jpg,image_data/strangle,240,360,3
strangle0033.jpg,image_data/strangle,198,300,3
strangle0156.jpg,image_data/strangle,320,240,3
strangle0064.jpg,image_data/strangle,1071,1600,3
strangle0462.jpg,image_data/strangle,240,360,3
strangle0324.jpg,image_data/strangle,240,160,3
strangle0228.jpg,image_data/strangle,240,168,3
strangle0286.jpg,image_data/strangle,240,360,3
strangle0161.jpg,image_data/strangle,252,448,3
strangle0000.jpeg,image_data/strangle,450,350,3
strangle0446.jpg,image_data/strangle,240,360,3
strangle0214.jpg,image_data/strangle,240,155,3
strangle0116.jpg,image_data/strangle,797,634,3
strangle0402.jpg,image_data/strangle,240,294,3
strangle0473.jpg,image_data/strangle,480,720,3
strangle0397.jpg,image_data/strangle,360,480,3
strangle0281.jpg,image_data/strangle,519,612,3
strangle0291.jpg,image_data/strangle,3624,4856,3
strangle0391.jpg,image_data/strangle,326,580,3
strangle0220.jpg,image_data/strangle,240,360,3
strangle0283.jpg,image_data/strangle,450,800,3
strangle0011.jpg,image_data/strangle,1000,1500,3
strangle0432.jpg,image_data/strangle,240,361,3
strangle0346.jpg,image_data/strangle,240,360,3
strangle0477.jpg,image_data/strangle,383,641,3
strangle0420.jpg,image_data/strangle,240,360,3
strangle0073.jpg,image_data/strangle,240,160,3
strangle0269.jpg,image_data/strangle,240,160,3
strangle0284.jpg,image_data/strangle,240,360,3
strangle0340.jpg,image_data/strangle,350,900,3
strangle0342.jpg,image_data/strangle,240,360,3
strangle0466.jpg,image_data/strangle,240,408,3
strangle0023.jpg,image_data/strangle,453,680,3
strangle0061.jpg,image_data/strangle,480,852,3
strangle0279.jpg,image_data/strangle,240,320,3
strangle0065.jpg,image_data/strangle,667,1000,3
